cell_type,patient,k,mean_dist,sd_dist,n_cells
macrophage,Lung5,5,432.809769372375,349.086575586444,21254
plasmablast,Lung5,5,565.280352323106,485.332107227165,22199
epithelial,Lung5,5,467.497285877324,371.713705348636,11846
neutrophil,Lung5,5,351.390336263894,251.32434459667,32836
fibroblast,Lung5,5,619.880629244941,651.938214680483,37735
NK,Lung5,5,527.453106520929,456.851156459327,5030
T CD4 naive,Lung5,5,1002.22673077876,968.46682393894,23889
B-cell,Lung5,5,1079.00647378052,957.74587985116,22788
T CD8 naive,Lung5,5,1079.04302104679,1006.7557596627,6009
mast,Lung5,5,500.807864800586,457.447761311199,7435
T CD4 memory,Lung5,5,950.232475802482,857.721794116121,1124
T CD8 memory,Lung5,5,817.252443188081,817.974848472857,153
Treg,Lung5,5,864.102517812863,770.363956029263,480
monocyte,Lung5,5,716.364818907108,665.132328161248,5536
mDC,Lung5,6,878.146345663818,798.481505322964,13552
endothelial,Lung5,6,639.059046608603,622.707682335398,22846
pDC,Lung5,6,712.195174907514,592.705803964952,7169
macrophage,Lung5,6,458.958408256243,361.896539759235,21254
plasmablast,Lung5,6,590.069320979487,503.356000875853,22199
epithelial,Lung5,6,492.15053505474,384.481183355778,11846
neutrophil,Lung5,6,374.767364928704,263.33105045856,32836
fibroblast,Lung5,6,649.969597716212,676.451574087041,37735
NK,Lung5,6,557.024320624858,473.807325302465,5030
T CD4 naive,Lung5,6,1048.28422056083,999.621861807936,23889
B-cell,Lung5,6,1127.33225952617,990.871544065361,22788
T CD8 naive,Lung5,6,1132.36737128549,1037.91506431693,6009
mast,Lung5,6,525.595444250372,473.612451394377,7435
T CD4 memory,Lung5,6,991.90101776311,882.5694154758,1124
T CD8 memory,Lung5,6,857.700758883814,841.040549105595,153
Treg,Lung5,6,901.683752217909,790.082803451917,480
monocyte,Lung5,6,753.36135294014,689.078286517855,5536
mDC,Lung5,7,915.931215648908,821.119970528177,13552
endothelial,Lung5,7,667.048946213418,642.849976022198,22846
pDC,Lung5,7,738.307419333998,608.770328854781,7169
macrophage,Lung5,7,482.688345019195,373.260188257333,21254
plasmablast,Lung5,7,611.692027682781,518.940353582204,22199
epithelial,Lung5,7,514.249281602627,395.631031792851,11846
neutrophil,Lung5,7,396.078005211257,274.312762970449,32836
fibroblast,Lung5,7,676.353318468222,697.691671412889,37735
NK,Lung5,7,583.439976498163,488.965535187048,5030
T CD4 naive,Lung5,7,1087.81147905627,1026.2448508289,23889
B-cell,Lung5,7,1169.20524891582,1019.18308634002,22788
T CD8 naive,Lung5,7,1179.0778151824,1064.81593069178,6009
