cell_type,patient,k,mean_dist,sd_dist,n_cells
mDC,Lung9,8,432.463290821046,217.337539792483,1099
pDC,Lung9,8,312.332860940492,171.358424003739,2323
mast,Lung9,8,281.832199753606,174.933873305794,852
epithelial,Lung9,9,401.388477746709,231.744402561701,5685
neutrophil,Lung9,9,254.334963696903,158.903496184827,17197
fibroblast,Lung9,9,268.221893801268,156.246894077187,21893
endothelial,Lung9,9,362.829646081509,214.816717667095,7730
T CD8 memory,Lung9,9,254.573068702757,181.254738573737,1726
B-cell,Lung9,9,345.271151389091,190.312582005093,1628
T CD4 memory,Lung9,9,265.608000988328,154.606918138751,5724
T CD4 naive,Lung9,9,392.603829708511,217.249735303667,1287
NK,Lung9,9,278.211638048947,179.732525496082,1928
monocyte,Lung9,9,407.073492560893,227.449935374545,2201
macrophage,Lung9,9,390.905940008883,241.585836332862,5649
plasmablast,Lung9,9,300.869268160099,142.502646639415,8683
Treg,Lung9,9,288.806834756386,159.414118345706,2985
T CD8 naive,Lung9,9,345.993431785094,199.411304791665,2276
mDC,Lung9,9,452.980882632801,227.694933668538,1099
pDC,Lung9,9,323.993672116825,178.205347596403,2323
mast,Lung9,9,294.283743368497,182.245581949061,852
epithelial,Lung9,10,420.076301466819,241.140674968141,5685
neutrophil,Lung9,10,266.36460100593,165.692710959588,17197
fibroblast,Lung9,10,277.224942826808,161.90479571097,21893
endothelial,Lung9,10,377.639184101199,224.014663004406,7730
T CD8 memory,Lung9,10,264.559215008826,188.405704408081,1726
B-cell,Lung9,10,358.904049515301,197.127889947039,1628
T CD4 memory,Lung9,10,274.304551616762,159.880888696651,5724
T CD4 naive,Lung9,10,409.147382676695,225.81645494686,1287
NK,Lung9,10,290.502142725106,187.349308920455,1928
monocyte,Lung9,10,424.736351221002,237.383516525516,2201
macrophage,Lung9,10,406.671983572328,251.398853279829,5649
plasmablast,Lung9,10,310.638608393042,147.432636763682,8683
Treg,Lung9,10,299.342503859222,165.268593277505,2985
T CD8 naive,Lung9,10,360.238192679109,207.621168125702,2276
mDC,Lung9,10,472.42717893492,237.634487917739,1099
pDC,Lung9,10,335.105256222637,184.927320007891,2323
mast,Lung9,10,305.8707537848,188.906507484842,852
neutrophil,Lung12,1,130.613439702814,77.1643877422234,16699
macrophage,Lung12,1,173.182784186209,99.4651901033612,1291
epithelial,Lung12,1,112.338397166559,74.4789558243643,2154
endothelial,Lung12,1,149.868643887469,94.4785143853058,3121
fibroblast,Lung12,1,146.405527683512,85.6102881363719,16548
B-cell,Lung12,1,195.050449267197,120.518889704086,1356
pDC,Lung12,1,186.979601266318,104.482161279282,408
mast,Lung12,1,145.747294091435,89.0378903207533,1076
T CD4 naive,Lung12,1,160.671317687029,101.584160983573,2247
mDC,Lung12,1,170.33362010655,99.4431239794029,780
plasmablast,Lung12,1,163.390968264829,86.0532344849317,5045
NK,Lung12,1,147.764693982882,93.8993670793393,567
T CD8 naive,Lung12,1,162.522585819168,99.9426345378765,1294
monocyte,Lung12,1,155.770666721849,102.350062701484,143
Treg,Lung12,1,153.746217240508,75.2035475492319,18
T CD4 memory,Lung12,1,167.156181552075,97.2237255348979,29
T CD8 memory,Lung12,1,145.887562951449,110.563135392526,16
neutrophil,Lung12,2,158.868913043066,80.4511605100465,16699
macrophage,Lung12,2,205.369058424845,105.468536874931,1291
epithelial,Lung12,2,135.238989619109,79.2210899327828,2154
endothelial,Lung12,2,178.804414285166,97.1280353352498,3121
fibroblast,Lung12,2,175.653725509752,89.3281481014232,16548
B-cell,Lung12,2,230.076983296029,121.616909341449,1356
pDC,Lung12,2,218.567693549715,105.745596047847,408
mast,Lung12,2,177.150070304011,92.9035134211271,1076
T CD4 naive,Lung12,2,194.707160819567,103.90529660263,2247
mDC,Lung12,2,202.275963391506,101.943079288148,780
plasmablast,Lung12,2,192.232621090525,87.2084590991797,5045
NK,Lung12,2,177.936639673637,95.1982698088879,567
T CD8 naive,Lung12,2,197.537637135292,102.207316161823,1294
monocyte,Lung12,2,184.182334443659,107.719567445471,143
Treg,Lung12,2,172.445708310173,75.8965041089002,18
T CD4 memory,Lung12,2,194.718971768972,94.5605320489844,29
T CD8 memory,Lung12,2,169.700665521652,113.171253272247,16
neutrophil,Lung12,3,181.951127933012,84.7928853264489,16699
macrophage,Lung12,3,231.11618547813,111.266008832384,1291
epithelial,Lung12,3,153.616086618942,83.287581688682,2154
endothelial,Lung12,3,202.688010150665,100.627549635892,3121
fibroblast,Lung12,3,199.301645145831,94.1163647035167,16548
B-cell,Lung12,3,258.48937554874,124.585933974854,1356
pDC,Lung12,3,242.86288238417,109.126551961488,408
mast,Lung12,3,202.163692532844,96.8173015326638,1076
T CD4 naive,Lung12,3,222.34134980739,107.759211729961,2247
mDC,Lung12,3,227.223463510868,106.086256433587,780
plasmablast,Lung12,3,215.85179944059,90.0984986128439,5045
NK,Lung12,3,202.608009438853,98.3219599427508,567
T CD8 naive,Lung12,3,224.800010357673,105.672214509768,1294
monocyte,Lung12,3,206.577297222653,112.598240836814,143
Treg,Lung12,3,192.27296111626,72.1774763118216,18
T CD4 memory,Lung12,3,224.870818938835,97.9020070014906,29
T CD8 memory,Lung12,3,191.234241735817,113.489298654093,16
neutrophil,Lung12,4,202.033124870696,89.150950924947,16699
macrophage,Lung12,4,253.57501670747,116.781044703229,1291
epithelial,Lung12,4,170.027072679769,87.3398799207057,2154
endothelial,Lung12,4,223.372449417096,104.617242327278,3121
fibroblast,Lung12,4,219.650973696516,98.887332311095,16548
B-cell,Lung12,4,282.333577896042,127.528071845061,1356
pDC,Lung12,4,263.352923792364,112.729106821125,408
mast,Lung12,4,223.713045404218,101.328843002965,1076
T CD4 naive,Lung12,4,246.002179818599,111.603662169856,2247
mDC,Lung12,4,249.035442061299,110.492419722613,780
plasmablast,Lung12,4,236.003119617002,93.4102863651974,5045
NK,Lung12,4,223.6236035524,101.320245257043,567
T CD8 naive,Lung12,4,248.490134069924,109.655367238012,1294
monocyte,Lung12,4,227.033363286434,116.916029731553,143
Treg,Lung12,4,208.782016933571,71.0475291166351,18
T CD4 memory,Lung12,4,248.991371959539,102.12603315423,29
T CD8 memory,Lung12,4,209.531212625686,112.421986679141,16
neutrophil,Lung12,5,219.905532376715,93.3183366973975,16699
macrophage,Lung12,5,273.417675083948,121.867505831018,1291
epithelial,Lung12,5,185.079349886222,91.3638031493465,2154
endothelial,Lung12,5,241.888081365115,108.733954446153,3121
fibroblast,Lung12,5,237.870994138352,103.619177868496,16548
B-cell,Lung12,5,303.758236814985,130.282338527628,1356
pDC,Lung12,5,281.680913692396,115.854541238932,408
mast,Lung12,5,242.743362084142,105.119642734311,1076
T CD4 naive,Lung12,5,267.249372421957,115.409216038293,2247
mDC,Lung12,5,268.297227933922,114.604890278082,780
plasmablast,Lung12,5,254.124927989598,96.9640224125547,5045
NK,Lung12,5,242.791385834349,104.287756760931,567
T CD8 naive,Lung12,5,269.580012838799,113.216784792199,1294
monocyte,Lung12,5,245.391347600397,121.387187629606,143
Treg,Lung12,5,223.467874136061,70.6631457909715,18
T CD4 memory,Lung12,5,269.131624069475,106.159013170792,29
T CD8 memory,Lung12,5,227.664799434324,112.898908665291,16
neutrophil,Lung12,6,236.143965322022,97.3243380043488,16699
macrophage,Lung12,6,291.251127782205,126.400041411435,1291
epithelial,Lung12,6,199.190553802509,94.9075972484472,2154
endothelial,Lung12,6,258.6249218559,112.580738101214,3121
fibroblast,Lung12,6,254.288574182609,108.144620070265,16548
B-cell,Lung12,6,322.828579817848,132.873726920946,1356
pDC,Lung12,6,298.436286949426,119.427484744384,408
mast,Lung12,6,260.066935605129,108.950474984211,1076
T CD4 naive,Lung12,6,286.436725363799,119.294938406427,2247
mDC,Lung12,6,285.489758763034,118.456978394888,780
plasmablast,Lung12,6,270.735271878729,101.295335864356,5045
NK,Lung12,6,260.140525139602,107.356104515707,567
T CD8 naive,Lung12,6,288.603448936809,116.741868528903,1294
monocyte,Lung12,6,261.567335146674,125.680163305334,143
Treg,Lung12,6,235.787602489634,70.5602312389545,18
T CD4 memory,Lung12,6,286.847583715915,109.984134018096,29
T CD8 memory,Lung12,6,243.044361855557,113.68652664468,16
neutrophil,Lung12,7,251.045477620267,101.116702961099,16699
macrophage,Lung12,7,307.662300005276,130.673351080761,1291
epithelial,Lung12,7,212.21294861087,98.1886736654322,2154
endothelial,Lung12,7,274.086578617291,116.35371118076,3121
fibroblast,Lung12,7,269.374736817283,112.430427117489,16548
B-cell,Lung12,7,339.989467887002,135.479400987249,1356
pDC,Lung12,7,313.879992035791,122.891923603311,408
mast,Lung12,7,275.863503981106,112.54009626872,1076
T CD4 naive,Lung12,7,303.964686707144,123.004698597475,2247
mDC,Lung12,7,301.053864089638,122.218781733654,780
plasmablast,Lung12,7,285.806377358625,105.427979651941,5045
NK,Lung12,7,276.033150242388,110.507012775759,567
T CD8 naive,Lung12,7,306.078452055569,120.270225457693,1294
monocyte,Lung12,7,276.16013372571,129.775316307523,143
Treg,Lung12,7,249.072899841377,71.3710864452054,18
T CD4 memory,Lung12,7,303.592278880377,114.222202513267,29
T CD8 memory,Lung12,7,256.555236412608,114.105963124199,16
neutrophil,Lung12,8,264.911235638862,104.612347614322,16699
macrophage,Lung12,8,322.85015413357,134.795110473338,1291
epithelial,Lung12,8,224.449577438789,101.300714128518,2154
endothelial,Lung12,8,288.437824330256,119.878688073972,3121
fibroblast,Lung12,8,283.437517944821,116.470474241374,16548
B-cell,Lung12,8,355.614173594339,137.898918406189,1356
pDC,Lung12,8,327.983197863435,126.167301171894,408
mast,Lung12,8,290.370384516846,115.913967810907,1076
T CD4 naive,Lung12,8,320.327826270275,126.361064228749,2247
mDC,Lung12,8,315.367686695935,125.830928374964,780
plasmablast,Lung12,8,299.67777297389,109.188102853855,5045
NK,Lung12,8,291.074219719585,113.351847647445,567
T CD8 naive,Lung12,8,322.027057079667,123.714860090268,1294
monocyte,Lung12,8,289.948394328382,133.99757230365,143
Treg,Lung12,8,262.36367732155,73.4838615265108,18
T CD4 memory,Lung12,8,319.49315831821,118.975637274662,29
T CD8 memory,Lung12,8,269.001709864058,114.201554394252,16
neutrophil,Lung12,9,277.932705651886,107.884760709065,16699
macrophage,Lung12,9,337.07584381736,138.610901077225,1291
epithelial,Lung12,9,235.939181341532,104.168158138729,2154
endothelial,Lung12,9,301.781739048838,123.204722810977,3121
fibroblast,Lung12,9,296.626196274317,120.256353504779,16548
B-cell,Lung12,9,370.096013052399,140.146038980898,1356
pDC,Lung12,9,341.22667778814,129.194551944421,408
mast,Lung12,9,303.832400203932,119.068438147681,1076
T CD4 naive,Lung12,9,335.633728622288,129.498679510759,2247
mDC,Lung12,9,328.612668424727,129.183026785447,780
plasmablast,Lung12,9,312.597336539892,112.610930668075,5045
NK,Lung12,9,305.280654444266,116.049664738758,567
T CD8 naive,Lung12,9,336.929357438993,126.936391164466,1294
monocyte,Lung12,9,303.202232152132,137.965529587884,143
Treg,Lung12,9,274.697741969014,75.903012518748,18
T CD4 memory,Lung12,9,333.984509615934,123.677387535442,29
T CD8 memory,Lung12,9,280.387699332059,114.183325389657,16
neutrophil,Lung12,10,290.226576615395,110.994187493376,16699
macrophage,Lung12,10,350.537097374223,142.219074878194,1291
epithelial,Lung12,10,246.900610915245,106.952390328476,2154
endothelial,Lung12,10,314.317000839278,126.356564397915,3121
fibroblast,Lung12,10,309.089329524675,123.839883363371,16548
B-cell,Lung12,10,383.806241066616,142.371974594731,1356
pDC,Lung12,10,353.747344466345,132.100954744047,408
mast,Lung12,10,316.531954030848,122.186104358733,1076
T CD4 naive,Lung12,10,350.020083107248,132.517936668061,2247
mDC,Lung12,10,341.147149584428,132.554761865391,780
plasmablast,Lung12,10,324.81151843273,115.88733154004,5045
NK,Lung12,10,318.676747143446,118.779203984738,567
T CD8 naive,Lung12,10,351.07298163924,130.153582573491,1294
monocyte,Lung12,10,315.586938776195,141.620436100592,143
Treg,Lung12,10,285.884778622919,78.1090104900598,18
T CD4 memory,Lung12,10,347.541449272608,128.122609455437,29
T CD8 memory,Lung12,10,291.961751492924,114.717669790869,16
fibroblast,Lung13,1,171.214523107771,104.290666852887,13609
macrophage,Lung13,1,165.169134783912,106.859623456323,17989
T CD4 memory,Lung13,1,171.595330979555,98.2701018945304,9344
T CD8 memory,Lung13,1,132.601761640031,94.9296039684069,3067
plasmablast,Lung13,1,198.504993578214,89.2794523896673,1638
B-cell,Lung13,1,162.469038278457,81.3311188871603,70
mast,Lung13,1,157.848561866728,93.4241380398458,1487
Treg,Lung13,1,183.532420555449,93.6252353222327,2244
endothelial,Lung13,1,202.058834834771,99.7436414534441,1449
pDC,Lung13,1,197.613549595105,94.1708912648794,2702
T CD4 naive,Lung13,1,223.504691894557,123.964727100373,62
neutrophil,Lung13,1,134.943892238002,80.0382379789303,412
T CD8 naive,Lung13,1,196.717652322759,99.6837957987049,184
NK,Lung13,1,153.822793140778,104.890510895125,105
monocyte,Lung13,1,174.078396188574,115.281274231627,93
epithelial,Lung13,1,103.289240208387,72.2887518383338,132
mDC,Lung13,1,190.290439713005,111.713022695419,338
fibroblast,Lung13,2,185.752857416976,104.829504305473,13609
macrophage,Lung13,2,180.888977013801,107.89494039185,17989
T CD4 memory,Lung13,2,185.296385775709,98.183564641555,9344
T CD8 memory,Lung13,2,146.565178826162,95.3906655311093,3067
plasmablast,Lung13,2,212.58334969578,88.9479100954268,1638
B-cell,Lung13,2,180.434877466233,79.1229298975364,70
mast,Lung13,2,171.566072581921,92.6462024702522,1487
Treg,Lung13,2,196.925222203702,92.8052202002825,2244
endothelial,Lung13,2,215.45140767298,98.7948758767306,1449
pDC,Lung13,2,210.821890896837,93.1772977172822,2702
T CD4 naive,Lung13,2,241.077799639532,120.945648439416,62
neutrophil,Lung13,2,165.545679237611,82.8867152417716,412
T CD8 naive,Lung13,2,214.009995590315,96.9692576588834,184
NK,Lung13,2,172.599985323543,102.574805365559,105
monocyte,Lung13,2,194.811085010172,115.168315936984,93
epithelial,Lung13,2,121.84315598388,74.4501103117264,132
mDC,Lung13,2,204.166811665685,111.331407673815,338
fibroblast,Lung13,3,197.880416398132,105.694150871247,13609
macrophage,Lung13,3,193.748412797575,109.392559674992,17989
T CD4 memory,Lung13,3,196.597074642108,98.4868857165478,9344
T CD8 memory,Lung13,3,157.977984379744,95.9692833706811,3067
plasmablast,Lung13,3,224.214504335172,89.5773007240073,1638
B-cell,Lung13,3,194.811179383495,79.6542169892912,70
mast,Lung13,3,182.775085620752,92.6358264955566,1487
Treg,Lung13,3,208.261834036285,93.1641745297083,2244
endothelial,Lung13,3,226.304416657837,98.5612468145047,1449
pDC,Lung13,3,221.908759654142,93.1939580441655,2702
T CD4 naive,Lung13,3,252.749860334715,119.40692000467,62
neutrophil,Lung13,3,190.82254867994,86.7434684041842,412
T CD8 naive,Lung13,3,228.482422434169,97.2466911083942,184
NK,Lung13,3,186.893158464186,102.600362433655,105
monocyte,Lung13,3,210.830966758241,115.351876753671,93
epithelial,Lung13,3,137.660806432481,78.1351223542083,132
mDC,Lung13,3,215.950448811477,111.148963352846,338
fibroblast,Lung13,4,208.404467108707,106.49791404977,13609
macrophage,Lung13,4,204.817732875843,110.867351278023,17989
T CD4 memory,Lung13,4,206.427191816827,98.7867559541454,9344
T CD8 memory,Lung13,4,168.060491285663,96.4253011463952,3067
plasmablast,Lung13,4,234.12114191429,90.1685300951386,1638
B-cell,Lung13,4,207.744280193392,80.6299684499091,70
mast,Lung13,4,192.527744748223,92.6647099463224,1487
Treg,Lung13,4,218.007499869592,93.3805828603716,2244
endothelial,Lung13,4,235.638529150081,98.4154657897779,1449
pDC,Lung13,4,231.522347832227,93.265985962476,2702
T CD4 naive,Lung13,4,263.349365177042,119.145168814188,62
neutrophil,Lung13,4,210.706960010156,91.2402368313466,412
T CD8 naive,Lung13,4,240.208084898226,97.6964287394013,184
NK,Lung13,4,199.220328410457,103.027456971437,105
monocyte,Lung13,4,222.970924005502,115.84062694668,93
epithelial,Lung13,4,149.922046314117,81.6346727249413,132
mDC,Lung13,4,225.650391031156,111.420795266432,338
fibroblast,Lung13,5,218.148636600855,107.357735472786,13609
macrophage,Lung13,5,214.916698803747,112.291218747441,17989
T CD4 memory,Lung13,5,215.430476947218,99.143511542077,9344
T CD8 memory,Lung13,5,177.326112029982,96.8562915834507,3067
plasmablast,Lung13,5,243.126547270331,90.5904047996118,1638
B-cell,Lung13,5,219.070100935538,82.5263338495915,70
mast,Lung13,5,201.428919251104,92.9401646488445,1487
Treg,Lung13,5,226.964600394717,93.5195171253571,2244
endothelial,Lung13,5,244.152109276011,98.4678728451905,1449
pDC,Lung13,5,240.449996340574,93.3491736511614,2702
T CD4 naive,Lung13,5,272.712325374047,118.360324834696,62
neutrophil,Lung13,5,227.771133940075,95.5171043368386,412
T CD8 naive,Lung13,5,250.809858864632,98.4639991665812,184
NK,Lung13,5,210.026853369318,103.521229550015,105
monocyte,Lung13,5,233.363574879551,116.20715584278,93
epithelial,Lung13,5,161.750722305404,85.6452087816279,132
mDC,Lung13,5,234.331822339548,111.725622340147,338
fibroblast,Lung13,6,227.330258183677,108.34394777493,13609
macrophage,Lung13,6,224.402608708,113.861463976059,17989
T CD4 memory,Lung13,6,223.936698493077,99.6888906912419,9344
T CD8 memory,Lung13,6,186.011185102841,97.5410083100186,3067
plasmablast,Lung13,6,251.473095456,91.34546214595,1638
B-cell,Lung13,6,229.51673966609,85.233906525207,70
mast,Lung13,6,209.82684642293,93.5101171945299,1487
Treg,Lung13,6,235.237392731713,93.8651371490908,2244
endothelial,Lung13,6,251.943648478872,98.7385498628522,1449
pDC,Lung13,6,248.741115423353,93.825060205532,2702
T CD4 naive,Lung13,6,281.349159615265,117.52319970874,62
neutrophil,Lung13,6,242.576655495243,99.1868178921949,412
T CD8 naive,Lung13,6,260.18540574754,100.115080273606,184
NK,Lung13,6,220.048540093403,104.074095704928,105
monocyte,Lung13,6,242.803958822501,116.813482819679,93
epithelial,Lung13,6,172.257614239086,89.196945190002,132
mDC,Lung13,6,242.31592743415,111.933361385789,338
fibroblast,Lung13,7,235.8840290828,109.429915913808,13609
macrophage,Lung13,7,233.217890867619,115.424634004416,17989
T CD4 memory,Lung13,7,231.873625818957,100.331148435665,9344
T CD8 memory,Lung13,7,194.231300603225,98.3449623974315,3067
plasmablast,Lung13,7,259.127265143089,92.1807573382962,1638
B-cell,Lung13,7,238.926383670246,87.9265231867375,70
mast,Lung13,7,217.624826929344,94.1780108899228,1487
Treg,Lung13,7,243.020174756554,94.271389081807,2244
endothelial,Lung13,7,259.230709402641,99.0285407565221,1449
pDC,Lung13,7,256.427628053021,94.4039252024466,2702
T CD4 naive,Lung13,7,289.106595709497,116.995466457408,62
neutrophil,Lung13,7,255.707948417794,102.326099986777,412
T CD8 naive,Lung13,7,268.881551099187,101.814195210223,184
NK,Lung13,7,229.57021480102,105.384679731868,105
monocyte,Lung13,7,251.681907790949,117.854013868527,93
epithelial,Lung13,7,181.785811734137,91.8878682719953,132
mDC,Lung13,7,249.855564557688,112.284839578341,338
fibroblast,Lung13,8,243.954920906852,110.514107139805,13609
macrophage,Lung13,8,241.471248803409,116.883616727848,17989
T CD4 memory,Lung13,8,239.375119090625,100.96301841287,9344
T CD8 memory,Lung13,8,201.961889891984,99.1627646642152,3067
plasmablast,Lung13,8,266.280675602674,93.0011573474724,1638
B-cell,Lung13,8,248.165536577135,90.9704998718304,70
mast,Lung13,8,224.85327432321,94.830248710234,1487
Treg,Lung13,8,250.347121040167,94.6956307232143,2244
endothelial,Lung13,8,266.036232756765,99.3956116813972,1449
pDC,Lung13,8,263.608716573675,95.0502642192851,2702
T CD4 naive,Lung13,8,296.466434865801,116.601931543093,62
neutrophil,Lung13,8,267.414385905405,105.363878333096,412
T CD8 naive,Lung13,8,276.917046695898,103.454629518333,184
NK,Lung13,8,238.453266457615,106.869684592419,105
monocyte,Lung13,8,259.833953140829,118.749858384113,93
epithelial,Lung13,8,191.020837857576,94.6361628372295,132
mDC,Lung13,8,257.153731632917,112.582688034015,338
fibroblast,Lung13,9,251.593590062122,111.584558739911,13609
macrophage,Lung13,9,249.233364727118,118.280387710474,17989
T CD4 memory,Lung13,9,246.516312388118,101.644036882805,9344
T CD8 memory,Lung13,9,209.297334270596,99.9703390709611,3067
plasmablast,Lung13,9,272.997898942598,93.7692427319664,1638
B-cell,Lung13,9,256.907721102956,93.8016847855676,70
mast,Lung13,9,231.639177111146,95.4559186038052,1487
Treg,Lung13,9,257.290346404555,95.2086457592474,2244
endothelial,Lung13,9,272.467005784231,99.8067484994211,1449
pDC,Lung13,9,270.362835861047,95.6911640832859,2702
T CD4 naive,Lung13,9,303.200542252383,116.167452082665,62
neutrophil,Lung13,9,278.149844133506,108.146827606393,412
T CD8 naive,Lung13,9,284.638112005469,104.760751919118,184
NK,Lung13,9,246.618573305117,108.536857406941,105
monocyte,Lung13,9,267.320856203804,119.648223602486,93
epithelial,Lung13,9,199.766769777232,97.0589239753689,132
mDC,Lung13,9,264.099383005377,112.939352645282,338
fibroblast,Lung13,10,258.851440634709,112.602759505869,13609
macrophage,Lung13,10,256.577241661681,119.584479779062,17989
T CD4 memory,Lung13,10,253.286621203569,102.310074790976,9344
T CD8 memory,Lung13,10,216.27946890953,100.743871683642,3067
plasmablast,Lung13,10,279.271227834807,94.4897338288472,1638
B-cell,Lung13,10,265.033907359689,96.5943537806207,70
mast,Lung13,10,238.118485765929,96.014487516998,1487
Treg,Lung13,10,263.904126486433,95.7211227652283,2244
endothelial,Lung13,10,278.552773997254,100.179451811149,1449
pDC,Lung13,10,276.720685410142,96.2908574434071,2702
T CD4 naive,Lung13,10,309.779588584624,116.013643581441,62
neutrophil,Lung13,10,288.006716057613,110.564906573995,412
T CD8 naive,Lung13,10,291.903508026636,105.970339154473,184
NK,Lung13,10,254.263084826186,110.251133504091,105
monocyte,Lung13,10,274.357049987042,120.418438263308,93
epithelial,Lung13,10,208.211607740258,99.3329664674887,132
mDC,Lung13,10,270.708658538776,113.244801208924,338
