gene,median_coef,fisher_stat,fisher_pval,sign_consistency,n_samples,n_sig_samples,mean_expr,pct_expr,n_positive_samples,n_negative_samples,median_dispersion,fisher_fdr,perm_pval,gradient_score,decay_pattern,cell_type
RAMP1,-0.00153518733897025,44.378440316327,2.81439610608204e-06,1,5,2,0.344323745410037,0.222766217870257,0,5,0.524276936657204,8.77739785584338e-05,,-0.00153518733897025,linear,pDC
RAMP2,0.00101340078144744,,1,0.8,5,0,0.0585985312117503,0.0504895960832313,4,1,0.40694119291744,1,,0.00101340078144744,not_significant,pDC
RARA,0.000560100945706456,,1,0.6,5,0,0.196756425948592,0.151315789473684,3,2,0.638495180365302,1,,0.000560100945706456,not_significant,pDC
RARRES1,-0.0018112599353531,,1,0.6,5,1,0.171205630354957,0.127524479804162,2,3,0.440745661709539,1,,-0.0018112599353531,not_significant,pDC
RARRES2,0.00186997016230883,28.5963544211514,0.00144789272519754,1,5,2,0.344094247246022,0.233093635250918,5,0,0.907280439938542,0.0344046890415988,,0.00186997016230883,linear,pDC
RB1,-0.000543246642345707,,1,0.6,5,1,0.113142594859241,0.094859241126071,2,3,0.432184374445013,1,,-0.000543246642345707,not_significant,pDC
RBPJ,0.000926249508083444,,1,0.8,5,0,0.222154222766218,0.163096695226438,4,1,0.798201236038425,1,,0.000926249508083444,not_significant,pDC
RELA,0.000168239264699856,,1,0.6,5,1,0.0984547123623011,0.0843788249694003,3,2,0.367004684385091,1,,0.000168239264699856,not_significant,pDC
RELT,-0.00101736217884177,,1,0.6,5,0,0.128212974296206,0.101055691554468,2,3,0.41490275378357,1,,-0.00101736217884177,not_significant,pDC
RGCC,-0.000768563327626962,,1,0.6,5,2,0.193084455324357,0.141600367197062,2,3,0.658446109944552,1,,-0.000768563327626962,not_significant,pDC
RGS1,0.000384333594405952,,1,0.8,5,1,0.520731334149327,0.271649326805386,4,1,1.05140820637175,1,,0.000384333594405952,not_significant,pDC
RGS2,-0.00161132256243363,,1,0.8,5,1,0.290544675642595,0.182680538555692,1,4,0.846689632890915,1,,-0.00161132256243363,not_significant,pDC
RORA,0.000179182066095939,,1,0.6,5,0,0.0748164014687883,0.0629589963280294,3,2,0.44261445252082,1,,0.000179182066095939,not_significant,pDC
RPL21,-0.000292597712839492,7.80104550129614,0.648263377144581,1,5,0,0.987224602203182,0.484394124847001,0,5,1.08180130912282,1,,-0.000292597712839492,not_significant,pDC
RPL22,-0.000919856267811774,,1,0.8,5,3,0.806380048959608,0.440636474908201,1,4,0.923638744825438,1,,-0.000919856267811774,not_significant,pDC
RPL32,-9.74588054814952e-05,,1,0.8,5,1,0.349602203182375,0.244951040391677,1,4,0.697803931611127,1,,-9.74588054814952e-05,not_significant,pDC
RPL34,-0.000350584360026224,,1,0.8,5,1,0.808139534883721,0.420899632802938,1,4,1.01382274778145,1,,-0.000350584360026224,not_significant,pDC
RPL37,-0.00216672596623544,,1,0.8,5,2,0.840804773561812,0.437729498164015,1,4,1.06235389010939,1,,-0.00216672596623544,not_significant,pDC
RPS4Y1,-0.00163844714898721,11.5167411612849,0.318699525033319,1,5,0,0.0677019583843329,0.0589045287637699,0,5,0.349256756478032,1,,-0.00163844714898721,not_significant,pDC
RUNX3,0.000570419982922906,,1,0.8,5,0,0.12484700122399,0.102356181150551,4,1,0.475641386143044,1,,0.000570419982922906,not_significant,pDC
RXRB,0.000494262689987354,,1,0.8,5,0,0.113448592411261,0.0946297429620563,4,1,0.496768955525697,1,,0.000494262689987354,not_significant,pDC
