cell_type,pathway,pathway_clean,pval,padj,ES,NES,size,leadingEdge
endothelial,HALLMARK_APOPTOSIS,Apoptosis,0.0674603174603175,0.485835694050992,0.269474235911526,1.28126032215574,66,"GPX3,CLU,LMNA,IFNGR1,IFITM3,GADD45B,CD69,JUN,IL6,IFNB1,CAV1,CDKN1A,DCN,GSN,RARA,CD14,GPX1,TIMP1,SQSTM1,FAS,SOD1,IER3"
endothelial,HALLMARK_TNFA_SIGNALING_VIA_NFKB,Tnfa Signaling via Nfkb,0.0694050991501416,0.485835694050992,0.262283663372059,1.26507694395103,70,"CXCL2,ZFP36,ICAM1,IL6ST,DUSP4,GADD45B,CD69,GPR183,CXCL3,JUN,IL6,NFKBIA,KLF2"
endothelial,HALLMARK_MYOGENESIS,Myogenesis,0.0902356902356902,0.505319865319865,0.320270667625472,1.30642013724331,33,"GPX3,CLU,IGFBP7,GADD45B,FGF2,CDKN1A,CD36,GSN,CFD"
endothelial,HALLMARK_ESTROGEN_RESPONSE_EARLY,Estrogen Response Early,0.110144236500179,0.507042253521127,-0.448296886503724,-1.32566779215471,27,"PTGES,CELSR2,DHRS2,AQP3,CELSR1,AR,KRT8,SLC2A1,SFN,AREG,KRT13,CD44"
endothelial,HALLMARK_UV_RESPONSE_UP,Uv Response Up,0.126760563380282,0.507042253521127,0.362921834679542,1.2891649829176,20,"CXCL2,GPX3,ICAM1,IL6ST,IL6,NFKBIA"
endothelial,HALLMARK_ANGIOGENESIS,Angiogenesis,0.149525711432851,0.523339990014978,-0.469551337497556,-1.28954871094093,19,"SPP1,TNFRSF21,PF4,LUM,VCAN,PDGFA,FGFR1,S100A4,VEGFA"
endothelial,HALLMARK_G2M_CHECKPOINT,G2m Checkpoint,0.182228181374939,0.529758713136729,-0.435793982264945,-1.24708798727885,23,"EGF,UBE2C,EFNA5,STMN1,CDKN3,CENPF"
endothelial,HALLMARK_GLYCOLYSIS,Glycolysis,0.189199540405975,0.529758713136729,-0.472239410867108,-1.24907437573577,16,"SOX9,EGFR,STMN1,COL5A1,VCAN,CD44"
endothelial,HALLMARK_INTERFERON_ALPHA_RESPONSE,Interferon Alpha Response,0.322900365153886,0.751012145748988,0.306517201042269,1.08880536932842,20,"IFI27,IFITM3,CD47,HLA-C"
endothelial,HALLMARK_UV_RESPONSE_DN,Uv Response Dn,0.330256774346231,0.751012145748988,-0.368814239106049,-1.10756085484353,29,"IGFBP5,KIT,MMP16,COL11A1,ACVR2A,RXRA"
