gene,sample_id,coef,se,n_cells,pval,dispersion
ADGRD1,Lung5,0.000299158407552783,0.000309745836470165,37735,0.334134769845719,0.421714806782582
ADGRD1,Lung6,-6.41512032557189e-05,0.00132915228577254,3252,0.961505246940033,0.343342324270071
ADGRD1,Lung9,0.000606477205106648,0.00076938651154268,21893,0.4305441885703,0.180641400614586
ADGRD1,Lung12,-0.00056266730884077,0.000516644594345976,16548,0.276118596708923,0.405903422433871
ADGRD1,Lung13,0.00140963705601828,0.000970573270343114,13609,0.14639716258537,0.188182464500821
ADGRE2,Lung5,-0.00135822785252582,0.000383219248017031,37735,0.00039371989062821,0.300446778693009
ADGRE2,Lung6,-0.00385481272042786,0.00146685292068422,3252,0.0085901728322841,0.33236489977996
ADGRE2,Lung9,-0.00242092838582552,0.000621623838746931,21893,9.83921245007152e-05,0.253932635597285
ADGRE2,Lung12,0.000250720816171128,0.000521892638360509,16548,0.630938100305173,0.400148550771831
ADGRE2,Lung13,0.00127528910677041,0.000797031744979214,13609,0.109587919466113,0.242366123838923
ADGRE5,Lung5,0.000371243673305417,0.00031950409933224,37735,0.245261007246366,0.422281151828599
ADGRE5,Lung6,0.00282459871469925,0.00163453600354728,3252,0.0839750081101452,0.236888113405427
ADGRE5,Lung9,-0.000249248756027243,0.000625263032821834,21893,0.690165672554429,0.24550069626152
ADGRE5,Lung12,0.00071963174881588,0.000487969047427783,16548,0.140280101002502,0.430344644317747
ADGRE5,Lung13,0.000249015324451682,0.000689602832614555,13609,0.718024973361716,0.29806668326568
ADGRF1,Lung5,-0.00149041112522454,0.000427520963522811,37735,0.000489987938623698,0.26250351449142
ADGRF1,Lung6,0.00136578513934709,0.00287620057449185,3252,0.634888613839454,0.107232937510848
ADGRF1,Lung9,-0.00012577470198109,0.000743551129619958,21893,0.8656754536534,0.200031441671311
ADGRF1,Lung12,0.000219176033176393,0.000462193092415322,16548,0.635351016436561,0.470529925462137
ADGRF1,Lung13,-0.00116245576739597,0.000922365583498871,13609,0.207561776729495,0.195452990246629
ADGRF4,Lung5,0.00030369471999297,0.000479835251946315,37735,0.526789435587796,0.238705846768287
ADGRF4,Lung6,0.00110653713074428,0.00281729846499419,3252,0.694492821693968,0.114962798339737
ADGRF4,Lung9,-0.00053263265422215,0.000914309801558863,21893,0.560195183499652,0.14583782358128
ADGRF4,Lung12,0.000913332188656785,0.000573599784005043,16548,0.111321521019567,0.358047294774455
ADGRF4,Lung13,0.000272528247154283,0.00113695496867672,13609,0.810562738684097,0.148573138157995
ADGRF5,Lung5,-0.000169163855536006,0.000309565404763585,37735,0.584752563491187,0.433243594366062
ADGRF5,Lung6,0.00133590638894652,0.00118397736595291,3252,0.259184426498138,0.378755421275112
ADGRF5,Lung9,0.00280162184199842,0.00065307075101219,21893,1.78736794172845e-05,0.232194408291226
ADGRF5,Lung12,0.000779581159267319,0.000453990026021561,16548,0.0859468654372341,0.479311309269849
ADGRF5,Lung13,0.00223022819629304,0.000730844382407521,13609,0.00227642353673051,0.282906649958885
ADGRG1,Lung5,-0.00233208888555967,0.00040090729401486,37735,5.99031726653267e-09,0.277429872176519
ADGRG1,Lung6,-0.00917225737240808,0.0025989019968165,3252,0.000416689254189736,0.158636235749301
ADGRG1,Lung9,1.20053123437793e-05,0.000740293507663208,21893,0.987061302811381,0.199473609358298
ADGRG1,Lung12,-0.000865456136834532,0.000552555109643918,16548,0.117283030370462,0.374548292719448
ADGRG1,Lung13,-7.55315390777368e-05,0.000961274271494128,13609,0.937371158715969,0.184012106263229
