ligand,receptor,cell_type,ligand_pct_query,ligand_mean_query,receptor_gradient_coef,receptor_fdr,receptor_pct_target,n_samples_supporting,n_samples_total,reproducibility,median_per_sample_score,direct_score,nichenet_activity,nichenet_auroc,enrichment_pval,enrichment_fdr,enrichment_odds_ratio,n_downstream_overlap,enrichment_score,scaled_direct,scaled_activity,scaled_enrichment,scaled_expression,combined_score
LGALS1,ITGB1,fibroblast,40.5738423422082,1.6361251175265,-0.00120758588063218,3.28961190906533e-19,0.295162139793846,5,5,1,0.000217072793283738,0.000217072793283738,0.0288393717371373,0.664178291194424,0.0193635857960272,0.0230518878524133,1.6027239379157,37,1.71301421586918,0.249881777348025,0.530329444540756,0.40656590852571,0.659117255327545,0.406276451539333
COL1A2,ITGB1,fibroblast,16.2434298227334,0.597016610887226,-0.00120758588063218,3.28961190906533e-19,0.295162139793846,4,5,0.8,0.000119789043994125,9.58312351953002e-05,0.0342481633890435,0.672333623946529,0.00327529051379559,0.00682352190374081,1.83210033727098,40,2.48475017263626,0.100361853160507,0.652388336758297,0.74009501267262,0.20557295777427,0.404437540603643
COL4A1,ITGB8,fibroblast,18.0402430593458,0.637938144862187,-0.00117413952288575,4.11740300430642e-07,0.0633296430452401,5,5,1,0.000104460496090806,0.000104460496090806,0.0282143445091857,0.644634553908748,0.00167200364100288,0.00491765776765553,1.91369660055186,41,2.77676278116391,0.111003801806112,0.516224606351492,0.866297119582124,0.239067432912392,0.396435069835556
COL5A3,DDR1,fibroblast,9.47660206474746,0.323917549092335,-0.00264410252383735,3.01029632955651e-21,0.0872663563958425,5,5,1,0.000274480955712753,0.000274480955712753,0.0305709332286849,0.661744405696017,0.0193635857960272,0.0230518878524133,1.6027239379157,37,1.71301421586918,0.320679812522315,0.569405173662319,0.40656590852571,0.0794322217837411,0.388349880991137
VTN,ITGB1,fibroblast,13.0751902829187,0.439283534864549,-0.00120758588063218,3.28961190906533e-19,0.295162139793846,5,5,1,0.000194305696173888,0.000194305696173888,0.0247832608528897,0.649157221737867,0.00327529051379559,0.00682352190374081,1.83210033727098,40,2.48475017263626,0.221804485308016,0.438796171842353,0.74009501267262,0.146513664167324,0.383031014627169
COL4A5,ITGB1,fibroblast,10.0872274761588,0.346232078079334,-0.00120758588063218,3.28961190906533e-19,0.295162139793846,5,5,1,0.000113309025208411,0.000113309025208411,0.0311581032520838,0.663324614937516,0.00327529051379559,0.00682352190374081,1.83210033727098,40,2.48475017263626,0.121916160766975,0.582655697478329,0.74009501267262,0.0908149171270718,0.38066366779752
COL11A1,DDR1,fibroblast,5.6739207377784,0.192467032277713,-0.00264410252383735,3.01029632955651e-21,0.0872663563958425,4,5,0.8,0.000124905026723949,9.99240213791594e-05,0.0353712500143392,0.66230746875908,0.00616429286460629,0.00994240784613917,1.75298701405201,39,2.2101167361994,0.105409240290586,0.677732760831208,0.621403842175271,0.00854627071823203,0.370618919872474
COL27A1,ITGB1,fibroblast,23.6040130593127,0.824528629214082,-0.00120758588063218,3.28961190906533e-19,0.295162139793846,5,5,1,0.000257007179690994,0.000257007179690994,0.0281637258450347,0.652244986922408,0.0323213300548489,0.0343843936753711,1.5311648738542,36,1.49051077588024,0.299130455130047,0.515082307207908,0.3104042973446,0.342781915943173,0.370535925277628
THBS1,ITGB1,fibroblast,12.6610499713873,0.452586661807791,-0.00120758588063218,3.28961190906533e-19,0.295162139793846,5,5,1,0.000180052674488995,0.000180052674488995,0.028153731146258,0.663760534728276,0.0111461936575603,0.0154808245243893,1.67664193748684,38,1.952873415642,0.204227090598079,0.514856759259447,0.510228337780339,0.138793656274665,0.3520728972006
COL11A1,ITGB1,fibroblast,5.6739207377784,0.192467032277713,-0.00120758588063218,3.28961190906533e-19,0.295162139793846,4,5,0.8,7.67767800501392e-05,6.14214240401114e-05,0.0353712500143392,0.66230746875908,0.00616429286460629,0.00994240784613917,1.75298701405201,39,2.2101167361994,0.057926301882968,0.677732760831208,0.621403842175271,0.00854627071823203,0.351625744509427
COL3A1,ITGB1,fibroblast,9.92481302491127,0.35239596527109,-0.00120758588063218,3.28961190906533e-19,0.295162139793846,5,5,1,6.74262420866835e-05,6.74262420866835e-05,0.0336932301644132,0.669899738448124,0.00616429286460629,0.00994240784613917,1.75298701405201,39,2.2101167361994,0.0653316829522906,0.639865292978416,0.621403842175271,0.0877873421468035,0.351151763724176
COL18A1,ITGB1,fibroblast,34.543006751281,1.31459965488981,-0.00120758588063218,3.28961190906533e-19,0.295162139793846,5,5,1,0.000193715101352691,0.000193715101352691,0.0204939187454374,0.630739610578322,0.0111461936575603,0.0154808245243893,1.67664193748684,38,1.952873415642,0.22107614022335,0.341999626574581,0.510228337780339,0.546696181925809,0.347745629810363
MMP2,DDR1,fibroblast,12.7569770403522,0.448958115942366,-0.00264410252383735,3.01029632955651e-21,0.0872663563958425,5,5,1,0.000263377111015317,0.000263377111015317,0.0263577728807389,0.655641528625399,0.0323213300548489,0.0343843936753711,1.5311648738542,36,1.49051077588024,0.306986108453124,0.474327803724446,0.3104042973446,0.140581837016575,0.341231827669161
COL5A2,DDR1,fibroblast,8.12039177938097,0.273745660641291,-0.00264410252383735,3.01029632955651e-21,0.0872663563958425,4,5,0.8,0.000187112448784082,0.000149689959027265,0.0292944501236287,0.66256175530369,0.0193635857960272,0.0230518878524133,1.6027239379157,37,1.71301421586918,0.166782579115857,0.540599088354399,0.40656590852571,0.054151045777427,0.315621044435547
COL16A1,ITGB1,fibroblast,10.5314690403654,0.354418873940214,-0.00120758588063218,3.28961190906533e-19,0.295162139793846,5,5,1,0.000110913707420839,0.000110913707420839,0.0278901543726362,0.655950305143853,0.0111461936575603,0.0154808245243893,1.67664193748684,38,1.952873415642,0.11896215935319,0.508908685997797,0.510228337780339,0.099096043804262,0.312212741477109
COL5A1,DDR1,fibroblast,11.0031655932758,0.387068666988134,-0.00264410252383735,3.01029632955651e-21,0.0872663563958425,4,5,0.8,0.000200750248730821,0.000160600198984657,0.0319770112591666,0.663506248183666,0.0518435047544549,0.0540036507858905,1.46188742649111,35,1.28530564671944,0.180237522099244,0.601135796288821,0.22171867592809,0.107888960142068,0.307568378926169
COL17A1,ITGB1,fibroblast,17.3690843595876,0.600186444328367,-0.00120758588063218,3.28961190906533e-19,0.295162139793846,4,5,0.8,0.000140627593778369,0.000112502075022695,0.0275993229326816,0.657312554489975,0.0193635857960272,0.0230518878524133,1.6027239379157,37,1.71301421586918,0.120920997619177,0.50234556327696,0.40656590852571,0.226556333859511,0.303040883121852
COL5A3,ITGB1,fibroblast,9.47660206474746,0.323917549092335,-0.00120758588063218,3.28961190906533e-19,0.295162139793846,5,5,1,9.57157340220307e-05,9.57157340220307e-05,0.0305709332286849,0.661744405696017,0.0193635857960272,0.0230518878524133,1.6027239379157,37,1.71301421586918,0.100219412507788,0.569405173662319,0.40656590852571,0.0794322217837411,0.300165720985327
