ligand,auroc,aupr,activity,pearson,cell_type
ADGRF5,0.664232781168268,0.0994006314398777,0.0341374735451409,0.0978505140842026,fibroblast
CD59,0.672933013658819,0.0993167518502821,0.0340535939555453,0.0801852711301108,fibroblast
FN1,0.673714036617263,0.0991661340827287,0.0339029761879919,0.044330103755825,fibroblast
WNT9A,0.652244986922407,0.0990970534643722,0.0338338955696353,0.0643896965040305,fibroblast
APOD,0.655932141819239,0.0990732151220138,0.033810057227277,0.0430625982008636,fibroblast
COL3A1,0.669899738448124,0.0989563880591501,0.0336932301644132,0.106404682440291,fibroblast
WNT7B,0.655859488520781,0.0989047508393862,0.0336415929446493,0.0598533559596638,fibroblast
GDF10,0.676583841906421,0.098810706774554,0.0335475488798172,0.105298779018642,fibroblast
CXCL17,0.673096483580354,0.0987771818165404,0.0335140239218035,0.0998109216477879,fibroblast
SOSTDC1,0.671716070909621,0.0986409195175649,0.0333777616228281,0.0554418520627932,fibroblast
CAMP,0.6771650682941,0.0986291888584599,0.033366030963723,0.0315688486150732,fibroblast
GDF9,0.67293301365882,0.0986028735172139,0.0333397156224771,0.0812354061531535,fibroblast
IL34,0.655132955536179,0.0985217282333901,0.0332585703386533,0.0956248686620158,fibroblast
LCN2,0.656713164777681,0.0982698125081816,0.0330066546134448,0.0862396492803965,fibroblast
CEACAM6,0.673804853240338,0.0982116174644442,0.0329484595697074,0.104660310465728,fibroblast
WNT5B,0.650719267654751,0.098115321674604,0.0328521637798672,0.0560300052522453,fibroblast
COL6A2,0.670045045045046,0.0980961870699691,0.0328330291752323,0.0992995391446476,fibroblast
CD34,0.670535454809649,0.0980920780310391,0.0328289201363023,0.0702143507309113,fibroblast
CALM2,0.667284219703577,0.0979891363609141,0.0327259784661772,0.0891741784649943,fibroblast
TIGIT,0.666357890148215,0.0979602002622615,0.0326970423675247,0.0962427814879837,fibroblast
LEFTY1,0.670535454809646,0.0979434839509797,0.0326803260562429,0.108784594502319,fibroblast
WNT11,0.653843359488523,0.0976575454226921,0.0323943875279553,0.058011045001303,fibroblast
COL9A1,0.656586021505376,0.0976466117900194,0.0323834538952825,0.0918054403307387,fibroblast
COL5A1,0.663506248183666,0.0972401691539034,0.0319770112591666,0.0875851209047738,fibroblast
COL4A2,0.661980528916013,0.0972155820153173,0.0319524241205805,0.0953552444211577,fibroblast
FLT3LG,0.671370967741935,0.0970908700966159,0.031827712201879,0.0680134652631154,fibroblast
TTR,0.669100552165071,0.0969849951053167,0.0317218372105799,0.0987775219628324,fibroblast
WNT3,0.643562917756467,0.0969403677977948,0.031677209903058,0.0621494048536087,fibroblast
WNT10B,0.653897849462367,0.096543286770517,0.0312801288757801,0.058841457793631,fibroblast
VCAN,0.668428509154316,0.0965428559245732,0.0312796980298364,0.088655210758429,fibroblast
MMP1,0.67358689334496,0.0964746198634633,0.0312114619687265,0.107510300531699,fibroblast
INHBB,0.646650682941004,0.0964699932590751,0.0312068353643383,0.0972929650646377,fibroblast
COL4A5,0.663324614937516,0.0964212611468207,0.0311581032520838,0.091018297636296,fibroblast
CD44,0.664523394362103,0.0963773097874747,0.0311141518927379,0.0277442176298665,fibroblast
CLU,0.666085440278986,0.0963424519496634,0.0310792940549266,0.0860267247553619,fibroblast
COL8A1,0.663488084859054,0.0963342705509152,0.0310711126561784,0.096773189293479,fibroblast
HSP90B1,0.668918918918923,0.0962112658233953,0.0309481079286585,0.0255619172393198,fibroblast
LGALS3BP,0.668410345829704,0.096187090145588,0.0309239322508512,0.0893744915593618,fibroblast
CD52,0.667992589363561,0.0958810270683844,0.0306178691736476,0.0818295694423648,fibroblast
MMP7,0.668501162452779,0.0958501601190656,0.0305870022243287,0.0751330256284126,fibroblast
COL5A3,0.661744405696017,0.0958340911234218,0.0305709332286849,0.0938493369328085,fibroblast
CCL26,0.663851351351354,0.0958122118446367,0.0305490539498999,0.0496054238847673,fibroblast
