ligand,receptor,cell_type,ligand_pct_query,ligand_mean_query,receptor_gradient_coef,receptor_fdr,receptor_pct_target,n_samples_supporting,n_samples_total,reproducibility,median_per_sample_score,direct_score
COL1A2,DDR1,fibroblast,16.2434298227334,0.597016610887226,-0.00264410252383735,3.01029632955651e-21,0.0872663563958425,4,5,0.8,0.000266897423030634,0.000213517938424507
THBS2,ITGB1,fibroblast,17.2457023019189,0.594092031359317,-0.00120758588063218,3.28961190906533e-19,0.295162139793846,5,5,1,0.000209031193715739,0.000209031193715739
COL4A2,ITGB1,fibroblast,28.5756814956684,1.07049459828921,-0.00120758588063218,3.28961190906533e-19,0.295162139793846,5,5,1,0.000198984834271137,0.000198984834271137
VTN,ITGB1,fibroblast,13.0751902829187,0.439283534864549,-0.00120758588063218,3.28961190906533e-19,0.295162139793846,5,5,1,0.000194305696173888,0.000194305696173888
COL18A1,ITGB1,fibroblast,34.543006751281,1.31459965488981,-0.00120758588063218,3.28961190906533e-19,0.295162139793846,5,5,1,0.000193715101352691,0.000193715101352691
TGFB1,ITGB1,fibroblast,15.1855858001475,0.519560590412491,-0.00120758588063218,3.28961190906533e-19,0.295162139793846,5,5,1,0.00018513011717989,0.00018513011717989
VCAN,ITGB1,fibroblast,17.8364807335444,0.614121141535067,-0.00120758588063218,3.28961190906533e-19,0.295162139793846,5,5,1,0.000181391356083709,0.000181391356083709
THBS1,ITGB1,fibroblast,12.6610499713873,0.452586661807791,-0.00120758588063218,3.28961190906533e-19,0.295162139793846,5,5,1,0.000180052674488995,0.000180052674488995
TGFB1,ITGB8,fibroblast,15.1855858001475,0.519560590412491,-0.00117413952288575,4.11740300430642e-07,0.0633296430452401,5,5,1,0.000180002591073345,0.000180002591073345
COL4A5,DDR1,fibroblast,10.0872274761588,0.346232078079334,-0.00264410252383735,3.01029632955651e-21,0.0872663563958425,5,5,1,0.000170735008634038,0.000170735008634038
COL5A1,DDR1,fibroblast,11.0031655932758,0.387068666988134,-0.00264410252383735,3.01029632955651e-21,0.0872663563958425,4,5,0.8,0.000200750248730821,0.000160600198984657
COL1A1,ITGB1,fibroblast,35.3646717144152,1.39511970593508,-0.00120758588063218,3.28961190906533e-19,0.295162139793846,5,5,1,0.000152802818625327,0.000152802818625327
COL5A2,DDR1,fibroblast,8.12039177938097,0.273745660641291,-0.00264410252383735,3.01029632955651e-21,0.0872663563958425,4,5,0.8,0.000187112448784082,0.000149689959027265
SPP1,ITGB1,fibroblast,13.0632820950472,0.458384536124057,-0.00120758588063218,3.28961190906533e-19,0.295162139793846,5,5,1,0.00014910550585826,0.00014910550585826
COL4A1,ITGB1,fibroblast,18.0402430593458,0.637938144862187,-0.00120758588063218,3.28961190906533e-19,0.295162139793846,5,5,1,0.000142379737147919,0.000142379737147919
FN1,ITGB1,fibroblast,15.8941229785024,0.582794604804323,-0.00120758588063218,3.28961190906533e-19,0.295162139793846,5,5,1,0.000124536761296455,0.000124536761296455
COL6A2,ITGB1,fibroblast,25.7894963167313,1.004554916956,-0.00120758588063218,3.28961190906533e-19,0.295162139793846,5,5,1,0.000124168022445683,0.000124168022445683
COL4A5,ITGB1,fibroblast,10.0872274761588,0.346232078079334,-0.00120758588063218,3.28961190906533e-19,0.295162139793846,5,5,1,0.000113309025208411,0.000113309025208411
COL17A1,ITGB1,fibroblast,17.3690843595876,0.600186444328367,-0.00120758588063218,3.28961190906533e-19,0.295162139793846,4,5,0.8,0.000140627593778369,0.000112502075022695
COL16A1,ITGB1,fibroblast,10.5314690403654,0.354418873940214,-0.00120758588063218,3.28961190906533e-19,0.295162139793846,5,5,1,0.000110913707420839,0.000110913707420839
